Date,Close
8/5/2024,4954.16
8/6/2024,4977.89
8/7/2024,4991.27
8/8/2024,5001.06
8/9/2024,5026.07
8/12/2024,4952.48
8/13/2024,4982.84
8/14/2024,5006.11
8/15/2024,5026.68
8/16/2024,4988.68
8/19/2024,4963.58
8/20/2024,5045.18
8/21/2024,5103.98
8/22/2024,5093.7
8/23/2024,5074.91
8/26/2024,5064.19
8/27/2024,5091.05
8/28/2024,5102.59
8/29/2024,4722.01
8/30/2024,4700.85
9/3/2024,4691.44
9/4/2024,4703.36
9/5/2024,4736.27
9/6/2024,4761.41
9/9/2024,4795.49
9/10/2024,4794.96
9/11/2024,4770.8
9/12/2024,4732.52
9/13/2024,4756.02
9/16/2024,4792.08
9/17/2024,4855.62
9/18/2024,4858.06
9/19/2024,4891.13
9/20/2024,4885.07
9/23/2024,4892.62
9/24/2024,4891.81
9/25/2024,4925.04
9/26/2024,4902.92
9/27/2024,4867.7
9/30/2024,4914.99
10/1/2024,4949.29
10/2/2024,4954.16
10/3/2024,4977.89
10/4/2024,4991.27
10/7/2024,5001.06
10/8/2024,5026.07
10/9/2024,4952.48
10/10/2024,4982.84
10/11/2024,5006.11
