Date,Close
5/22/2024,4885.07
5/23/2024,4892.62
5/24/2024,4891.81
5/28/2024,4925.04
5/29/2024,4902.92
5/30/2024,4867.7
5/31/2024,4914.99
6/3/2024,4949.29
6/4/2024,4954.16
6/5/2024,4977.89
6/6/2024,4991.27
6/7/2024,5001.06
6/10/2024,5026.07
6/11/2024,4952.48
6/12/2024,4982.84
6/13/2024,5006.11
6/14/2024,5026.68
6/17/2024,4988.68
6/18/2024,4963.58
6/20/2024,5045.18
6/21/2024,5103.98
6/24/2024,5093.7
6/25/2024,5074.91
6/26/2024,5064.19
6/27/2024,5091.05
6/28/2024,5102.59
7/1/2024,4722.01
7/2/2024,4700.85
7/5/2024,4691.44
7/8/2024,4703.36
7/9/2024,4736.27
7/10/2024,4761.41
7/11/2024,4795.49
7/12/2024,4794.96
7/15/2024,4770.8
7/16/2024,4732.52
7/17/2024,4756.02
7/18/2024,4792.08
7/19/2024,4855.62
7/22/2024,4858.06
7/23/2024,4891.13
7/24/2024,4885.07
7/25/2024,4892.62
7/26/2024,4891.81
7/29/2024,4925.04
7/30/2024,4902.92
7/31/2024,4867.7
8/1/2024,4914.99
8/2/2024,4949.29
,
